name,github_slug,main_repo,homepage,language,domains,loc_estimate,fuzzing_engines,sanitizers,fuzz_target_count,has_dockerfile,has_asan,has_coverage,build_system,quality_score,apt_packages,nvd_cve_count,nvd_mean_cvss,nvd_cwes,github_stars
ntopng,ntop/ntopng,https://github.com/ntop/ntopng.git,https://github.com/ntop/ntopng/,c++,data-parsing | compression | database | networking,409181,libfuzzer | afl | honggfuzz,address,4,Yes,Yes,No,cmake,2,make | autoconf | automake | libtool | ninja-build | liblzma-dev | libzstd-dev | pkg-config | libglib2.0-dev | groff | libxml2-dev | libcurl4-openssl-dev | libsqlite3-dev | flex | bison,9,6.19,CWE-79 | CWE-254 | CWE-352 | CWE-74 | CWE-476 | CWE-335 | CWE-120,7623
numpy,numpy/numpy,https://github.com/numpy/numpy,numpy.org,python,scientific,394679,libfuzzer,address,0,Yes,Yes,No,pip,2,software-properties-common | python3.11 | python3.11-dev,9,5.19,CWE-835 | CWE-20 | CWE-59 | CWE-502 | CWE-120 | CWE-697 | CWE-476,31621
presto,prestodb/presto,https://github.com/prestodb/presto/,https://prestodb.io/,jvm,uncategorized,1514218,libfuzzer,address,6,Yes,Yes,No,maven/gradle,2,openjdk-8-jdk,9,7.39,CWE-285 | CWE-22 | CWE-269 | CWE-89 | CWE-502 | CWE-200 | CWE-862 | CWE-427,16666
ryu,dtolnay/ryu,https://github.com/dtolnay/ryu,https://github.com/dtolnay/ryu,rust,uncategorized,2966,libfuzzer,address,0,Yes,Yes,No,cargo,2,,9,7.26,CWE-835 | CWE-400 | CWE-606,694
spring-boot,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot.git,https://github.com/spring-projects/spring-boot,jvm,web-framework,605771,libfuzzer,address,10,Yes,Yes,No,maven/gradle,2,openjdk-17-jdk,9,6.03,CWE-22 | CWE-79 | CWE-668 | CWE-77 | CWE-290 | CWE-347,80263
teleport,gravitational/teleport,https://github.com/gravitational/teleport,https://github.com/gravitational/teleport,go,uncategorized,1377477,libfuzzer,address,0,Yes,Yes,No,,2,,9,7.05,CWE-79 | CWE-352 | CWE-78 | CWE-668 | CWE-863,20041
uriparser,uriparser/uriparser,https://github.com/uriparser/uriparser,https://github.com/uriparser/uriparser,c++,uncategorized,17265,,address | undefined,0,Yes,Yes,No,cmake,2,make | autoconf | automake | libtool | cmake,9,6.76,CWE-787 | CWE-190 | CWE-476 | CWE-125 | CWE-416 | CWE-674,404
avro,apache/avro,https://github.com/apache/avro,https://avro.apache.org/,jvm,data-parsing,210932,libfuzzer,address,5,Yes,Yes,No,maven/gradle,2,,8,7.18,CWE-770 | CWE-20 | CWE-835 | CWE-190 | CWE-400 | CWE-502 | CWE-94,3243
c-blosc,Blosc/c-blosc,https://github.com/Blosc/c-blosc.git,https://github.com/Blosc/c-blosc,c++,uncategorized,127570,,address | memory | undefined,1,Yes,Yes,No,cmake,2,cmake | make,8,7.47,CWE-787 | CWE-476 | CWE-122 | CWE-120,1044
c-blosc2,Blosc/c-blosc2,https://github.com/Blosc/c-blosc2.git,https://github.com/Blosc/c-blosc2,c++,uncategorized,144516,afl | honggfuzz | libfuzzer,address | memory | undefined,2,Yes,Yes,No,cmake,2,cmake | make,8,7.47,CWE-787 | CWE-476 | CWE-122 | CWE-120,554
faad2,knik0/faad2,https://github.com/knik0/faad2,https://sourceforge.net/projects/faac,c,media-codec,53765,,address | memory | undefined,0,Yes,Yes,No,,2,python3,8,7.09,CWE-119 | CWE-121 | CWE-787 | CWE-476,210
gitoxide,GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,https://crates.io/crates/gitoxide,rust,uncategorized,198362,libfuzzer,address,0,Yes,Yes,No,cargo,2,,8,5.53,CWE-77 | CWE-88 | CWE-23 | CWE-67 | CWE-345 | CWE-150 | CWE-706 | CWE-281 | CWE-687 | CWE-328,11012
imageio,imageio/imageio,https://github.com/imageio/imageio,https://imageio.github.io,python,compression,30362,libfuzzer,address | undefined,0,Yes,Yes,No,pip,2,zlib1g-dev | libjpeg8-dev,8,7.51,CWE-189 | CWE-119 | CWE-20,1684
ipython,ipython/ipython,https://github.com/ipython/ipython,ipython.readthedocs.org,python,uncategorized,57529,libfuzzer,address,0,Yes,Yes,No,pip,2,,8,5.97,CWE-94 | CWE-79 | CWE-20 | CWE-352 | CWE-250 | CWE-279 | CWE-269 | CWE-78,16688
kubeedge,kubeedge/kubeedge,https://github.com/kubeedge/kubeedge,https://kubeedge.io/en/,go,uncategorized,109951,libfuzzer,address,0,Yes,Yes,No,,2,,8,4.14,CWE-476 | CWE-400 | CWE-770,7388
libidn,,https://git.savannah.gnu.org/git/libidn.git,https://www.gnu.org/software/libidn/,c++,uncategorized,,afl | honggfuzz | libfuzzer,,0,Yes,No,No,make,1,pkg-config | autopoint | autoconf | autoconf-archive | automake | libtool | gettext | gengetopt | gperf,8,7.15,CWE-125 | CWE-190 | CWE-787 | CWE-20,
lodash,lodash/lodash,https://github.com/lodash/lodash,https://lodash.com/,javascript,uncategorized,33639,libfuzzer,none,0,Yes,No,No,,1,,8,6.09,CWE-471 | CWE-1321 | CWE-400 | CWE-770 | CWE-94,61579
logback,qos-ch/logback,https://github.com/qos-ch/logback.git,https://github.com/qos-ch/logback,jvm,uncategorized,76543,libfuzzer,address,3,Yes,Yes,No,maven/gradle,2,,8,7.77,CWE-502 | CWE-917 | CWE-918 | CWE-20,3217
loki,grafana/loki,https://github.com/grafana/loki,https://github.com/grafana/loki,go,uncategorized,406140,libfuzzer,address,0,Yes,Yes,No,,2,,8,5.64,CWE-94 | CWE-22 | CWE-264 | CWE-79,27832
md4c,mity/md4c,https://github.com/mity/md4c,https://github.com/mity/md4c,c,uncategorized,8693,,,1,Yes,No,No,cmake,1,make | cmake,8,7.24,CWE-787 | CWE-125 | CWE-476 | CWE-119 | CWE-908,1279
nettle,,https://git.lysator.liu.se/nettle/nettle,https://www.lysator.liu.se/~nisse/nettle/,c++,crypto,,afl | honggfuzz | libfuzzer,address | undefined | memory,0,Yes,Yes,No,make,2,software-properties-common | make | autoconf | build-essential | lzip | libtool,8,7.21,CWE-254 | CWE-310 | CWE-203 | CWE-327 | CWE-787 | CWE-20,
opendds,objectcomputing/OpenDDS,https://github.com/objectcomputing/OpenDDS.git,https://opendds.org/,c,uncategorized,432329,afl | honggfuzz | libfuzzer,address | undefined,0,No,Yes,No,,0,,8,6.59,CWE-406 | CWE-130 | CWE-405 | CWE-248 | CWE-20 | CWE-770 | CWE-400 | CWE-190,1494
openslide,openslide/openslide,https://github.com/openslide/openslide,https://openslide.org/,c,uncategorized,19851,,,0,No,No,No,,0,,8,5.86,CWE-79 | CWE-326 | CWE-269 | CWE-24 | CWE-22 | CWE-208 | CWE-203 | CWE-116 | CWE-284,477
pdfbox,apache/pdfbox,https://github.com/apache/pdfbox/,https://pdfbox.apache.org/,jvm,uncategorized,187190,libfuzzer,address,5,Yes,Yes,No,maven/gradle,2,mupdf-tools | ca-certificates | unzip | zip,8,5.77,CWE-835 | CWE-611 | CWE-834 | CWE-789 | CWE-770,3030
poco,pocoproject/poco,https://github.com/pocoproject/poco,https://github.com/pocoproject/poco,c++,crypto,386752,afl | honggfuzz | libfuzzer,address | undefined | memory,0,Yes,Yes,No,,2,openssl | libssl-dev | git | make | cmake,8,6.04,CWE-310 | CWE-22 | CWE-311 | CWE-190 | CWE-79 | CWE-404 | CWE-476 | CWE-327,9387
quic-go,quic-go/quic-go,https://github.com/quic-go/quic-go,https://github.com/quic-go/quic-go,go,networking,59191,libfuzzer,address,0,Yes,Yes,No,,2,,8,6.74,CWE-400 | CWE-248 | CWE-476 | CWE-770 | CWE-345 | CWE-617 | CWE-755,11488
rhino,mozilla/rhino,https://github.com/mozilla/rhino.git,https://github.com/mozilla/rhino,jvm,uncategorized,410984,libfuzzer,address,0,Yes,Yes,No,maven/gradle,2,,8,7.76,CWE-119 | CWE-22 | CWE-352 | CWE-94 | CWE-79 | CWE-400,4560
snakeyaml,,https://bitbucket.org/snakeyaml/snakeyaml.git,https://bitbucket.org/snakeyaml/snakeyaml/src/master/,jvm,uncategorized,,libfuzzer,address,1,Yes,Yes,No,maven/gradle,2,,8,6.54,CWE-776 | CWE-121 | CWE-787 | CWE-20 | CWE-502,
wabt,WebAssembly/wabt,https://github.com/WebAssembly/wabt,https://github.com/WebAssembly/wabt,c++,uncategorized,87820,afl | honggfuzz | libfuzzer,address | memory | undefined,1,Yes,Yes,No,cmake,2,cmake | libtool | make | python,8,4.24,CWE-119 | CWE-122 | CWE-787 | CWE-617 | CWE-400 | CWE-404 | CWE-416 | CWE-125,7912
